Question,OptionA,OptionB,OptionC,OptionD,CorrectIndex,Explanation
"বাংলা সাহিত্যের প্রথম মহাকাব্য কোনটি?","মেঘনাদবধ কাব্য","পদ্মাবতী","বৃত্রসংহার","মহাশ্মশান",0,"মাইকেল মধুসূদন দত্ত রচিত মেঘনাদবধ কাব্য (১৮৬১) বাংলা সাহিত্যের প্রথম সার্থক মহাকাব্য।"
"‘সূর্য’ শব্দের সমার্থক শব্দ কোনটি?","সুধাংশু","মিহির","শশাঙ্ক","বিধু",1,"মিহির সূর্যের সমার্থক শব্দ। সুধাংশু ও শশাঙ্ক চাঁদের সমার্থক শব্দ।"
"Which one is the correct spelling?","Bureaucracy","Beaurocracy","Bureaucrasy","Burocracy",0,"The correct spelling is Bureaucracy (আমলাতন্ত্র)।"
"The idiom 'A hot potato' means-","A delicious food","A controversial issue difficult to deal with","An urgent meeting","A useless thing",1,"A hot potato means an issue that is difficult or dangerous to handle."
"মুজিবনগর সরকার কত তারিখে শপথ গ্রহণ করে?","১০ এপ্রিল ১৯৭১","১৭ এপ্রিল ১৯৭১","২৫ মার্চ ১৯৭১","২৬ মার্চ ১৯৭১",1,"মুজিবনগর সরকার ১৯৭১ সালের ১৭ এপ্রিল আনুষ্ঠানিকভাবে শপথ গ্রহণ করে।"
"বাংলাদেশের সংবিধানে কতটি অনুচ্ছেদ রয়েছে?","১৩৭টি","১৫৩টি","১৪৫টি","১৬২টি",1,"বাংলাদেশের সংবিধানে মোট ১৫৩টি অনুচ্ছেদ এবং ১১টি ভাগ রয়েছে।"
"জাতিসংঘের বর্তমান মহাসচিব আন্তোনিও গুতেরেস কোন দেশের নাগরিক?","স্পেন","পর্তুগাল","ব্রাজিল","ইতালি",1,"আন্তোনিও গুতেরেস পর্তুগালের সাবেক প্রধানমন্ত্রী এবং জাতিসংঘের ৯ম মহাসচিব।"
"টাকায় ৩টি করে আম ক্রয় করে ২টি করে বিক্রয় করলে শতকরা কত লাভ হবে?","৩৩.৩৩%","৫০%","২৫%","২০%",1,"শতকরা লাভ = (১/২ - ১/৩) ÷ (১/৩) × ১০০% = ৫০% লাভ।"
"বায়ুমণ্ডলে নাইট্রোজেনের পরিমাণ শতকরা কত ভাগ?","৭৮.০৯%","২০.৯৫%","০.০৩%","০.৯৩%",0,"শুষ্ক বাতাসে নাইট্রোজেনের পরিমাণ প্রায় ৭৮.০৯%।"
"কম্পিউটারের প্রধান স্থায়ী মেমোরি কোনটি?","RAM","ROM","Cache","Register",1,"ROM (Read Only Memory) হলো কম্পিউটারের অপরিবর্তনশীল স্থায়ী মেমোরি।"
